ID,Name,Code,Legal form,Status,Registration Date,Capital,Address,Area of Activity,EMTAK Code,NACE Code,Partners,Partner_Participations,Partner_Contributions,Representatives,Representative_Roles,Representative_Start_Dates,Deletion Date
1266,OÃœSPAVarad(11693452),11693452.0,Private limited company,Enteredintotheregister,28.07.2009,Capitalis5Â 328Â â‚¬,Saare maakond Saaremaa vald Kuressaare linn Tallinna tn 15 93811,Computer programming activities,62011 (EMTAK 2008),62.01,\n                                        Santino Pennino\n,100.00%,\n                                    2500.00 EUR,\n                                Santino Pennino\n,\n                                Management board member\n,02.06.2021,
1267,OÃœSPAVÃµruGrupp(10438996),10438996.0,Private limited company,Deleted,03.06.1998,,,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,"\n, \n                                        Lihtkonto: Kalle Kuusik\n","76.01%, 23.99%","\n                                    4050.00 EUR, \n                                    1278.00 EUR",\n                                Kalle Kuusik\n,\n                                Management board member\n,18.12.2009,16.10.2000
1268,"SpecialCentreofAerospaceTechnologies""BALTICA""OÃœ(12630924)",12630924.0,Private limited company,Deleted,18.03.2014,,,,,,,,,,,,03.01.2020
1269,SpiceSpaceOÃœ(11273480),11273480.0,Private limited company,Enteredintotheregister,14.07.2006,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa PÃ¤Ã¤skÃ¼la tn 8-23 10917,,,,,,,,,,
1270,SpoolSpaceTechnologyOÃœ(11359460),11359460.0,Private limited company,Enteredintotheregister,07.03.2007,Capitalis40Â 000Â EEK,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Tehnika tn 21-6 10149,Other sports and recreational education,85519 (EMTAK 2008),85.51,\n                                        Ruth Tomson\n,100.00%,\n                                    2556.00 EUR,\n                                Ruth Tomson\n,\n                                Management board member\n,25.10.2022,
1271,SpordiklubiSKSpartak(80097261),80097261.0,Non-profit association,Enteredintotheregister,19.05.1999,,Harju maakond Tallinn Haabersti linnaosa Paldiski mnt 83 10614,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,\n                                        Andrus Maigre\n,100.00%,\n                                    40000.00 EEK,\n                                Andrus Maigre\n,\n                                Management board member\n,07.03.2007,
1272,UÃœSportsparadise(12252942),12252942.0,Limited partnership,Enteredintotheregister,22.03.2012,,Tartu maakond Kambja vald Ãœlenurme alevik Loopealse tn 11 61714,Activities of sports clubs,93121 (EMTAK 2008),93.12,,,,\n                                Nikolai Mizerov\n,\n                                Management board member\n,19.05.1999,
1273,SquarespaceSolutionsOÃœ(16442177),16442177.0,Private limited company,Enteredintotheregister,14.02.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa TornimÃ¤e tn 3 10145,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,,,,\n                                Carl Robert Pedjasaar\n,\n                                A limited partner authorized to represent\n,22.03.2012,
1274,SRAutospaOÃœ(12964045),12964045.0,Private limited company,Enteredintotheregister,15.12.2015,Capitalis2Â 500Â â‚¬,JÃ¤rva maakond Paide linn Paide linn PÃ¤rnu tn 116 72720,Computer programming activities,62011 (EMTAK 2008),62.01,\n                                        Roberts Valp\xc4\xabters\n,100.00%,\n                                    2500.00 EUR,\n                                Roberts Valp\xc4\xabters\n,\n                                Management board member\n,14.02.2022,
1275,SrspartsOÃœ(16182428),16182428.0,Private limited company,Enteredintotheregister,12.03.2021,Capitalis2Â 500Â â‚¬,Tartu maakond Tartu vald Tabivere alevik PÃ¤rna tn 3-3 49127,Car washing and other services,45202 (EMTAK 2008),45.2,\n                                        Silver Saadi\n,100.00%,\n                                    2500.00 EUR,\n                                Silver Saadi\n,\n                                Management board member\n,15.12.2015,
1276,StarspaceOÃœ(16483443),16483443.0,Private limited company,Enteredintotheregister,19.04.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa TornimÃ¤e tn 5 10145,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,\n                                        Tauri Siirus\n,100.00%,\n                                    2500.00 EUR,\n                                Tauri Siirus\n,\n                                Management board member\n,26.04.2021,
1277,OsaÃ¼hingSTILETTODANCE(11279583),11279583.0,Private limited company,Deleted,14.08.2006,,,Computer programming activities,62011 (EMTAK 2008),62.01,\n                                        Daniil Aksim\n,100.00%,\n                                    2500.00 EUR,\n                                Daniil Aksim\n,\n                                Management board member\n,19.04.2022,25.02.2011
1278,StreetSparksArtsOÃœ(16284761),16284761.0,Private limited company,Enteredintotheregister,04.08.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa JÃ¤rvevana tee 9 11314,,,,,,,,,,
1279,Sutlema-AespaLasteaed(75028134),75028134.0,Agency of local authority,Enteredintotheregister,06.11.2002,,Rapla maakond Kohila vald Sutlema kÃ¼la Lasteaia tee 1 79710,Retail sale of souvenirs and craftwork articles in specialised stores,47783 (EMTAK 2008),47.78,\n                                        Dmitri Litau\n,100.00%,\n                                    2500.00 EUR,\n                                Dmitri Litau\n,\n                                Management board member\n,04.08.2021,
1280,SverigeEspanyaOÃœ(16613437),16613437.0,Private limited company,Enteredintotheregister,14.11.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Sepapaja tn 6 15551,Activities of nurseries,85102 (EMTAK 2008),85.1,,,,,,,
1281,OÃœS.V.P.RESTORANID(10652229),10652229.0,Private limited company,Enteredintotheregister,21.03.2000,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa RÃ¤vala pst 8 10143,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,\n                                        Timmy Yagan\n,100.00%,\n                                    2500.00 EUR,\n                                Timmy Yagan\n,\n                                Management board member\n,14.11.2022,
1282,OÃœSVRakennuspalvelu(12239172),12239172.0,Private limited company,Enteredintotheregister,23.02.2012,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa VÃ¤ike-Ameerika tn 8-213 10129,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.1,\n                                        Triin Veske\n,100.00%,\n                                    2556.00 EUR,\n                                Triin Veske\n,\n                                Management board member\n,07.12.2020,
1283,OÃœSwimitationSPA(12928049),12928049.0,Private limited company,Deleted,12.10.2015,,,Other specialised construction activities n.e.c.,4399 (EMTAK 2008),43.99,\n                                        Aleksandr Zhukov\n,100.00%,\n                                    2500.00 EUR,\n                                Aleksandr Zhukov\n,\n                                Management board member\n,02.10.2020,07.10.2019
1284,osaÃ¼hingSÃµrvePuit(11095788),11095788.0,Private limited company,Deleted,05.01.2005,,,,,,,,,,,,22.02.2018
1285,SÃ¤hkÃ¶JuraOÃœ(11212082),11212082.0,Private limited company,Deleted,24.01.2006,,,,,,,,,,,,02.02.2016
1286,SybariticSpaConsultingOÃœ(11200133),11200133.0,Private limited company,Enteredintotheregister,19.12.2005,Capitalis40Â 000Â EEK,Rapla maakond MÃ¤rjamaa vald Varbola kÃ¼la Kivi 78203,,,,,,,,,,
1287,OsaÃ¼hingZieds(11206093),11206093.0,Private limited company,Deleted,22.12.2005,,,Other transportation support activities,5229 (EMTAK 2008),52.29,\n                                        Sybaritic Inc.\n,100.00%,\n                                    40000.00 EEK,\n                                Mari-Liis Eller\n,\n                                Management board member\n,28.07.2020,06.11.2009
1288,ZSPAautotradeOÃœ(12828916),12828916.0,Private limited company,Enteredintotheregister,06.04.2015,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Pae tn 58-36 13620,,,,,,,,,,
1289,MittetulundusÃ¼hingTabasaluLooduspark(80167889),80167889.0,Non-profit association,Enteredintotheregister,22.05.2002,,Harju maakond Harku vald Tabasalu alevik Kallaste tn 22a 76901,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,"\n                                        Vadym Shchogolev\n, \n                                        Valeriya Gusakova\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Vadym Shchogolev\n,\n                                Management board member\n,26.02.2016,
1290,"Taekwondoklubi""Sparta""(80261341)",80261341.0,Non-profit association,Enteredintotheregister,18.12.2007,,Harju maakond LÃ¤Ã¤ne-Harju vald Paldiski linn Rae tn 29-16 76805,Environment and nature protection associations,94996 (EMTAK 2008),94.99,,,,\n                                Kaido Taberland\n,\n                                Management board member\n,13.04.2005,
1291,TagadiSpaceOÃœ(16270960),16270960.0,Private limited company,Enteredintotheregister,14.07.2021,Capitalis2Â 508Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa TÃ¤hetorni tn 21d-35 11625,Activities of sports clubs,93121 (EMTAK 2008),93.12,,,,\n                                Aleksandr Antonov\n,\n                                Management board member\n,10.05.2019,
1292,TalkSpanishOÃœ(14973887),14973887.0,Private limited company,Enteredintotheregister,19.05.2020,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa LÃµÃµtsa tn 5-11 11415,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,\n,100.00%,\n                                    2508.00 EUR,\n                                Daniel Krebets\n,\n                                Management board member\n,21.07.2022,
1293,TallinnArtSpaceOÃœ(12946107),12946107.0,Private limited company,Enteredintotheregister,13.11.2015,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Maakri tn 21 10145,Language training,85591 (EMTAK 2008),85.59,"\n                                        Pablo Enrique Fernandez\n, \n                                        Bibiana Fuentes Mendez\n","60.00%, 40.00%","\n                                    1500.00 EUR, \n                                    1000.00 EUR",\n                                Pablo Enrique Fernandez\n,\n                                Management board member\n,19.05.2020,
1294,TallinnaSpartaKÃ¤sipalliklubi(80153114),80153114.0,Non-profit association,Deleted,28.08.2001,,,Artistic creation,90031 (EMTAK 2008),90.03,\n                                        Jaak Visnap\n,100.00%,\n                                    2500.00 EUR,\n                                Jaak Visnap\n,\n                                Management board member\n,13.11.2015,12.05.2012
1295,SihtasutusTallinnaTeadusparkTEHNOPOL(90008258),90008258.0,Foundation,Enteredintotheregister,30.09.2003,,Harju maakond Tallinn MustamÃ¤e linnaosa Teaduspargi tn 6/1 12618,,,,,,,,,,
1296,AktsiaseltsTallinnaTÃ¶Ã¶stuspargid(11066456),11066456.0,Public limited company,Enteredintotheregister,03.09.2004,Capitalis3Â 825Â 700Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa MÃ¤nniku tee 104/7 11216,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,,,,\n                                Indrek Orav\n,\n                                Management board member\n,22.04.2019,
1297,TanagraSpaceOÃœ(16145634),16145634.0,Private limited company,Enteredintotheregister,22.01.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Ahtri tn 12 10151,Other real estate management or related activities,68329 (EMTAK 2008),68.32,,,,\n                                Margus Jaanson\n,\n                                Management board member\n,05.04.2018,
